IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
107.173.157.129,107.173.157.129,950027.xyz,"ZeroSSL",N/A
107.173.157.73,107.173.157.73,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
107.173.123.223,107.173.123.223,560660.xyz,"Let's Encrypt",N/A
107.173.123.220,107.173.123.220,science.555661.xyz,"Let's Encrypt",N/A
107.173.123.214,107.173.123.214,sxkiss.com,"Let's Encrypt",N/A
107.173.123.204,107.173.123.204,crackwp.ir,"Let's Encrypt",N/A
107.173.157.147,107.173.157.147,ss.ledluz.tk,"Let's Encrypt",N/A
107.173.123.187,107.173.123.187,miguelcarsi.ooguy.com,"Let's Encrypt",N/A
107.173.123.183,107.173.123.183,pc1-telegram.com,"Let's Encrypt",N/A
107.173.157.122,107.173.157.122,www.cloudflare.com,"Google Trust Services",N/A
107.173.123.180,107.173.123.180,a.askx.site,"Let's Encrypt",N/A
107.173.123.173,107.173.123.173,besttrade24.com,"Let's Encrypt",N/A
107.173.157.39,107.173.157.39,*.capple.top,"Let's Encrypt",N/A
107.173.123.154,107.173.123.154,localhost,"FIT2CLOUD",N/A
107.173.123.153,107.173.123.153,Cloudflare,"Cloudflare, Inc.",N/A
107.173.157.142,107.173.157.142,sm.thaiju.none.94023165.xyz,"Let's Encrypt",N/A
107.173.157.163,107.173.157.163,mail.sordv.top,"Let's Encrypt",N/A
107.173.123.144,107.173.123.144,Common Name,"Organization",N/A
107.173.123.147,107.173.123.147,images.apple.com,"Apple Inc.",N/A
107.173.123.142,107.173.123.142,auroratrade.live,"Let's Encrypt",N/A
107.173.157.180,107.173.157.180,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
107.173.157.245,107.173.157.245,s2.linyile.ltd,"ZeroSSL",N/A
107.173.157.210,107.173.157.210,Plesk,"Plesk",N/A
